,AgentDQN,AgentDQN_ste,AgentP,AgentP_ste,depth,novelty,expt
0,586.05,35.66,144.88,4.81,0,,1
1,571.718625,35.83226637277654,157.32146428571428,4.96858957417596,1,agent.AddAgentConservative_seed38,1
2,208.197875,31.3568873951252,208.0580357142857,4.09621344688142,2,agent.AddAgentConservative+card.CardDistOdd_seed38,1
3,266.1875,22.009553404377076,194.40775,3.1215558008646966,3,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength_seed38,1
4,74.625,30.993028896670832,224.4672500000001,9.618375219330924,4,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict_seed38,1
5,48.75,23.75532918224797,213.1011785714286,9.587074555591558,5,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict+conclude_game.Incentive_seed38,1
6,586.05,35.66,144.88,4.81,0,,2
7,571.718625,35.83226637277654,157.32146428571428,4.96858957417596,1,agent.AddAgentConservative_seed38,2
8,208.197875,31.3568873951252,208.0580357142857,4.09621344688142,2,agent.AddAgentConservative+card.CardDistOdd_seed38,2
9,266.1875,22.009553404377076,194.40775,3.1215558008646966,3,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength_seed38,2
10,74.625,30.993028896670832,224.4672500000001,9.618375219330924,4,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict_seed38,2
11,48.75,23.75532918224797,213.1011785714286,9.587074555591558,5,agent.AddAgentConservative+card.CardDistOdd+game_element.TournamentLength+action.GameFoldRestrict+conclude_game.Incentive_seed38,2
12,586.05,35.66,144.88,4.81,0,,3
13,888.219125,45.33161045240576,165.70085714285716,5.395986887390643,1,conclude_game.LuckySeven_seed81,3
14,379.958375,58.8162415487347,,,2,conclude_game.LuckySeven+agent.AgentExchange_seed81,3
15,276.739625,44.48509205783202,,,3,conclude_game.LuckySeven+agent.AgentExchange+action.WealthTax_seed81,3
16,217.71875,29.977615387940883,,,4,conclude_game.LuckySeven+agent.AgentExchange+action.WealthTax+game_element.TournamentLength_seed81,3
17,628.249625,46.879756140632615,,,5,conclude_game.LuckySeven+agent.AgentExchange+action.WealthTax+game_element.TournamentLength+card.CardDistLow_seed81,3
18,586.05,35.66,144.88,4.81,0,,4
19,552.671875,36.61777199861028,149.56919642857142,5.2346430599320914,1,conclude_game.SeatChanging_seed97,4
20,511.9625,47.44459358080189,155.3625,6.778221424084748,2,conclude_game.SeatChanging+game_element.BigBetChange_seed97,4
21,639.7885,50.43727281946546,137.10696428571427,7.208647135749845,3,conclude_game.SeatChanging+game_element.BigBetChange+action.NoFreeLunch_seed97,4
22,465.395875,53.34919736435299,189.70682142857143,6.5551444973608834,4,conclude_game.SeatChanging+game_element.BigBetChange+action.NoFreeLunch+agent.AddAgentR_seed97,4
23,249.53125,46.23800506767618,230.4062321428572,5.980049511970495,5,conclude_game.SeatChanging+game_element.BigBetChange+action.NoFreeLunch+agent.AddAgentR+card.CardDistOdd_seed97,4
24,586.05,35.66,144.88,4.81,0,,5
25,722.625,47.67437388821075,125.29464285714285,6.815953415477599,1,action.NoFreeLunch_seed12,5
26,337.75025,36.985495061815286,180.263375,5.284193996350264,2,action.NoFreeLunch+game_element.AllOdd_seed12,5
27,343.39575,43.89022098155049,220.6696071428572,5.917389595976443,3,action.NoFreeLunch+game_element.AllOdd+agent.AddAgentR_seed12,5
28,54.03125,23.85248100261735,257.99107142857144,4.143703609470485,4,action.NoFreeLunch+game_element.AllOdd+agent.AddAgentR+card.CardDistColor_seed12,5
29,114.9375,29.21531045720308,296.424125,4.849926985137898,5,action.NoFreeLunch+game_element.AllOdd+agent.AddAgentR+card.CardDistColor+conclude_game.LuckySeven_seed12,5
30,586.05,35.66,144.88,4.81,0,,6
31,335.0625,46.16741204281449,151.32142857142858,7.176239803791328,1,agent.AddAgentStirring_seed63,6
32,170.177125,28.378669196321248,100.87873214285716,4.187123869680431,2,agent.AddAgentStirring+game_element.BuyIn_seed63,6
33,37.645875,10.253758083360497,59.95094642857144,4.760499964784621,3,agent.AddAgentStirring+game_element.BuyIn+conclude_game.Incentive_seed63,6
34,66.40625,15.348653957367285,61.61607142857142,4.769024766272999,4,agent.AddAgentStirring+game_element.BuyIn+conclude_game.Incentive+action.NoFreeLunch_seed63,6
35,24.0,10.679597252160514,79.26785714285714,3.982430718031572,5,agent.AddAgentStirring+game_element.BuyIn+conclude_game.Incentive+action.NoFreeLunch+card.CardDistSuit_seed63,6
36,586.05,35.66,144.88,4.81,0,,7
37,594.629125,40.74021487906276,143.5440357142857,5.806099230871205,1,action.ActionHierarchy_seed66,7
38,105.781375,25.228476071005726,213.4136428571429,3.605362585667097,2,action.ActionHierarchy+card.CardDistHigh_seed66,7
39,45.0,18.12180788128149,222.09375,2.588001207280621,3,action.ActionHierarchy+card.CardDistHigh+game_element.AllOdd_seed66,7
40,163.59375,35.7626013766764,,,4,action.ActionHierarchy+card.CardDistHigh+game_element.AllOdd+agent.AgentExchange_seed66,7
41,114.916875,29.362735261622102,,,5,action.ActionHierarchy+card.CardDistHigh+game_element.AllOdd+agent.AgentExchange+conclude_game.SeatChanging_seed66,7
42,586.05,35.66,144.88,4.81,0,,8
43,101.52075,27.092484130940903,214.0372142857143,3.8719543091792143,1,card.CardDistLow_seed15,8
44,61.984375,24.80927738046042,219.7105535714286,3.5439988715406456,2,card.CardDistLow+action.RoundActionReStrict_seed15,8
45,147.8125,48.72145738188213,207.1473392857143,6.969201022256636,3,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange_seed15,8
46,99.0,41.50247819350709,192.94642857142856,6.144680632143633,4,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange+conclude_game.Incentive_seed15,8
47,44.4375,25.76902543894093,214.4207321428572,4.765832365441598,5,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange+conclude_game.Incentive+agent.AddAgentConservative_seed15,8
48,586.05,35.66,144.88,4.81,0,,9
49,101.52075,27.092484130940903,214.0372142857143,3.8719543091792143,1,card.CardDistLow_seed15,9
50,61.984375,24.80927738046042,219.7105535714286,3.5439988715406456,2,card.CardDistLow+action.RoundActionReStrict_seed15,9
51,147.8125,48.72145738188213,207.1473392857143,6.969201022256636,3,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange_seed15,9
52,99.0,41.50247819350709,192.94642857142856,6.144680632143633,4,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange+conclude_game.Incentive_seed15,9
53,44.4375,25.76902543894093,214.4207321428572,4.765832365441598,5,card.CardDistLow+action.RoundActionReStrict+game_element.BigBlindChange+conclude_game.Incentive+agent.AddAgentConservative_seed15,9
54,586.05,35.66,144.88,4.81,0,,10
55,888.219125,45.33161045240576,165.70085714285716,5.395986887390643,1,conclude_game.LuckySeven_seed83,10
56,105.781375,25.228476071005726,213.4136428571429,3.605362585667097,2,conclude_game.LuckySeven+card.CardDistHigh_seed83,10
57,101.223875,26.179348972244544,236.4412678571429,4.707138258208159,3,conclude_game.LuckySeven+card.CardDistHigh+agent.AddAgentStirring_seed83,10
58,114.9375,30.13248616868008,231.7724107142857,5.645105957840635,4,conclude_game.LuckySeven+card.CardDistHigh+agent.AddAgentStirring+game_element.BigBlindChange_seed83,10
59,114.9375,30.13248616868008,231.7724107142857,5.645105957840635,5,conclude_game.LuckySeven+card.CardDistHigh+agent.AddAgentStirring+game_element.BigBlindChange+action.ActionHierarchy_seed83,10
